Shaker Number,2,Box/Tub Number,Number of pieces,From who if gifted,Where,,How much Grandma paid for them,Theme,Jess Keepers?
333,"Bunny in garden ""Keep Out, Vegetable Garden"" with cabbage",7,2,Emma Oestreich,,1978,,,
491,Mice with onion and corn,7,2,Barb Schuettpelz,,03-08-1985,,,
86,Bunny with carrot,7,2,Joyce Larson,Canada,1970,,,Value
475,Gourd and pumpkin (AVON),7,2,Joyce and Louie,,9-1984,,,
138,"Ducks with hats, made in Japan, marked old",7,2,,"Shawano, WI",1971,$0.25,Animals,Value
577,"Calico Mallard Ducks Otagiri engraved, Japan",7,2,,"Shawano, WI",4-21-1990,$2.35,Animals,
221,Iridescent Dolphins on waves,7,2,,"Sunken Gardens, FL",1975,$2.89,Animals,Value
430,Cobs of corn with faces.  Enesco sticker,A,2,Ron & Sophie Kuss,,11-1983,,Food,
301,Asparagus and Carrots,7,2,,"Laona, WI",1977,$2.50,Food,Yes
326,Orange fruit with faces - all one piece,7,1,,"Escanaba, MI",1978,$0.50,Food,Value
394,Cucumber and bunch of carrots,7,2,Pam Staude,,7-1982,,Food,Value
871,"Baked Potatoes.  Virginia Ann Ceramics, Orange, CA",7,2,,"Crystal Falls, MI",6-22-2003,$3.00,Food,Maybe
887,Bunnies with green and white stripes/polka dots.,7,2,,,4-17-2004,$1.00,Animals,
611,"Glass shakers on metal tray.  Silver plated, Hong Kong",7,3,,"Shawano, WI",8-29-1992,$1.50,,Value
403,Male Chavuinist Pigs. Norcrest sticker.  H907,7,2,Maynard,,1982,,Animals,
382,"Cows.  Bone China, Japan Sticker",7,2,,"Hipton, WI",5-31-1982,$5.25,Animals,Value
62,Baked Potatoes.  Souvenir of Idaho Sticker.,7,2,,Idaho,1968,$1.00,Food,Yes
36,Bone China pig with flowers,7,2,Aunt Meta Elfe,,1969,,Animals,Value
524,Ceramic pigs,A,2,,"Inspiration Point, AK",6-4-1987,$3.00,Animals,
808,Ceramic cows,7,2,Pastor & Chris Paholke,,8-26-2001,,Animals,
948,Pink and yellow Eggs in a white metal basket,7,3,,,9-16-2011,,Easter,
781,Ceramic cabbage with leaf tray,7,3,Tim Schuettpelz,,12-25-2000,,Food,
866,Ceramic pigs with sunflowers,7,2,,Townsend,5-2-2003,$0.50,Animals,
700,Idaho baked potatoes.  Made in Idaho by Treasure Mt. Gifts,7,2,Barb Schuettpelz,Idaho,10-3-1998,,Food,
729,Ceramic pumpkins,7,2,,Bonduel,9-8-1997,$1.19,Food,
438,"Green onions and beets, made in Japan.  Grandma says radish, I say beets",7,2,,Shawano,1982,,Food,Maybe
334,"Ceramic cabbage, painted by Mary, Lori Ann, Timmmy Christmas",7,2,"Mary, Lori Ann, Tim Schuettpelz",,1978,,Food,
471,"White round ceramic pigs.  Korea, Josep Originals stickers",7,2,,Shawano,8-1984,$2.00,Animals,
521,Clear glass,7,2,,"Suring, WI",6-1986,$1.75,,
425,"Ziggy with egg themed text.  ""Keep your sunny side up"" ""everyone likes a good egg""",7,2,,"Minocqua, WI",10-2-1983,$3.29,,Value
359,"White ceramic pigs. Norcrest sticker, made in japan, hand painted.  H904",7,2,Daryl and Barb,,5-11-1980,,Animals,
162,"Red and yellow capped mushrooms. ""TC USA"" copyright.",7,2,,"Sturgeon Bay, WI",1972,$2.00,Food,Yes
836,Cow heads (marked as old by Grandma),7,2,Barb and Ken Jahnke,,8-30-2002,,Animals,Value
558,Sheep with bells and wooden barn holder,7,3,Barb Schuettpelz,,5-1989,,Animals,
963,Wooden shakers.  US-Canadian Border Pigeon River.,7,2,,Pigeon River,5-19-2012,$1.00,,
793,Wooden Pigs,7,2,,"Florence, WI",7-1-2001,,Animals,Maybe
535,Ceramic cows in wooden crate with red plaid liner,A,3,Staudes,,12-1987,,Animals,Yes
335,"Blue phono speakers Royal Gorge, Colorado with image",7,2,Louie & Joyce,,1978,,Location,Value
962,"Blue shakers with silver tops, Yellowstone National Park design",7,2,,,5-19-2012,$1.00,Location,
67,"Roosters, Japan",7,2,,"Green Bay, WI",1968,,Animals,Value
760,"Ceramic cows, made in Japan",7,2,Barb Schuettpelz,,5-20-2000,,Animals,
523,"Ceramic cows, made in Korea",7,2,Barb Schuettpelz,,12-1986,,Animals,
837,Pink Pigs,7,2,Barb and Ken Jahnke,,8-30-2002,,Animals,
188,White chickens.  Marked as 10/216 on bottom,7,2,Grayce Larsen,,1973,,Animals,Value
233,Purple cabbage,7,2,Grandma Dennee (Joyce Larsen's mother),,1975,,Food,Value
448,"Cows, with creamer (creamer might be in different box?)",7,2-3,Marian Ozurick,,12-1983,,Animals,
362,"Corn with faces, made in Japan",7,2,,"Sturegon Bay, WI",8-10-1980,$3.95,Food,
1016,"tin milk cans, made in Japan, third shaker says ""nutmeg""",6,3,,,,,,
1015,"monkey & flowers, from Japan",6,2,,rummage sale,9-1-2013,,Animals,value
1013,"mouse & spinning wheel, PY makers mark",6,2,,rummage sale,9-1-2013,,Animals,value
979,square wooden pepper mill & salt grinder,6,2,Pam,,6-30-2013,$3.00,,
933,"hugging snowmen, blue & white, made in china, ",6,2,,,11-2009,$1.50,Christmas,value
265,"skunks, old",6,2,Joyce Larsen,,6-1976,,Animals,value
1007,brown horse w/ wheat,6,2,,,9-1-2013,,Animals,value
580,Smoky Mountain w/ Bear ,6,2,,"Smoky Mts, TN",6-7-1990,$5.35,Animals,
905,"Lambert Gardens, bobbing fish, made in Japan",6,3,"Myrtle Gipp, Grandma Aroline Schuettpelz's sister","Portland, OR",2-2007,$7.00,Animals,value
1012,"Lefton 0541N christmas trees, old",6,2,,,9-1-2013,,Christmas,Yes
636,"Beach cow w/ life raft, fits together",6,6,,"Branson, MO",4-21-1994,$2.99,Animals,value
1003,"San Fransico white ceramic w/ city view, made in Taiwan",6,2,,"San Fransico, CA",9-1-2013,,,
210,"fawns, standing, mirror images, made in Japan",6,2,,"WI Dells, WI",1974,$1.49 & $0.50,Animals,value
647,"Papel Freelance L89044 fisherman & boat, ceramic",6,2,,Liquidators in Shawano,8-1994,$1.90,,value
232,"child matador riding bull, fits together, made in Japan",6,2,,"Hinton, WI",1975,$1.25,Animals,value
44,"brown bear holding two fish shakers, 1964",6,3,,Canada,1969,$1.00,Animals,Yes
286,"ducks, ceramic",6,2,Joyce & Louie for Christmas,Washington,12-1976,,Animals,value
64,"two bear cubs on a tree stump, fits together, Fairway Japan",6,3,,TN,1969,,Animals,value
184,racoon with trash can,6,2,Randy & Mary for honeymoon,Copper Harbor,10-1973,,Animals,value
973,"Easter bunnys kissing, magnets on paws",6,2,,Shawano rummage sale,3-9-2013,$2.00,Animals,
201,"black bear holding two fish shakers, Japan, birthday",6,3,Emma Oeistreich,,1974,,Animals,value
648,"Papel Freelace L39044, man w/ newspaper, sleeping on chair, made in China",6,2,,Liquidators in Shawano,8-1994,$1.90,,
173,"Lefton, chipmunks, bought with 41st birthday money",6,2,Emma Oeistreich,,1973,,Animals,value
563,"circus tiger heads on stands, top hats, ruffles on neck, Randy Schuettpelz yard sale",6,2,,,7-1-1989,$1.00,Animals,
985,Feet with red toenails,6,2,Pam,,6-30-2013,$3.00,,
439,"fawns, one sitting, one lying down, made in Japan",6,2,,,1982,,Animals,
462,"brown squirrels, ceramic",6,2,A. Steyer?,Rummage sale ,6-1984,,Animals,
910,"ceramic cacti on wooden log, fits together",6,3,Myrtle Gipps,New Mexico,2-2007,$7.00,,
956,waffle pattern glass with red tops,6,2,Barb Yahnke,from trailer,3-2012,,,
996,"sprinkling cans, yellow, green",6,2,,,2013,,,
109,"frog by toadstood, 1970",6,2,,South Dakota,1970,,,value
604,"Garfield & Arlene, Eneoco designed giftware, South Korea",0,2,,"Branson, MO",5-1992,$3.25,Animals,Given to Deanna 2/16/2023
351,black and brown bears with stumps,6,2,,rummage sale,10-1979,,Animals,value
676,"sitting fawns, occupied Japan",6,2,Ella Nelson moving sale,,4-16-1998,$2.00,Animals,value
969,"Family Dollar chefs, in original package",6,2,,"Oconto Falls, WI",7-2012,$1.00,,
974,"Irish verse on green steins, ""May you be in heaven a half an hour before the devil knows you're dead""",6,2,,Library rummage sale,3-2013,$2.00,,
556,unicorns w/ rainbow manes,6,2,Maynard ,,12-25-1988,,Animals,
378,"Coca Cola cans, tin",6,2,,Sunset House,12-1981,$0.88,,value
784,"Schlitz beer cans, metal, old",6,2,Bernadine Zill,,3-15-2001,,,value
584,ceramic white unicorns,6,2,Pam & Dennis,Kansas,8-10-1990,,Animals,
970,red ceramic w. painted christmas trees,6,2,Barb Yahnke,,12-2012,,,
368,"white mouse w/ cheese, fits together, made in Japan",6,2,Carmen Kopatz,,4-1981,,Animals,value
744,"Fishing Hall of Fame, from the Hall of Fame",6,2,,"Hayward, WI",6-22-1999,$2.50,,
960,"mechical plastic w/ glass bottles, button-operated dispensers, Imperial Metal Corp ",6,3,,Library rummage sale ,5-10-2012,$0.50,,value
583,"clear glass w/ silver top, old",6,2,Abe Estreen,,6-1990,,,
966,ecru/lt pink ceramic owls,6,2,,Krueger Garage sale ,6-21-2012,$1.50,Animals,
997,Coronita (tall) bottles (on table in restaurant in WA w/ Louie & Joyce),6,2,,WA,,,,
764,"clown hobo in canoe ""Bill Vagabond"" by 1993 EC Tailand, fits together",6,2,,Liquidators in Bonduel,6-6-2000,$1.69,,value
843,"glass w/ green tops, Corelle, duplicate w/ #1A",6,2,,"Flea market, Green Bay, WI",9-12-2002,$0.25,,
959,mauve ceramic,6,2,,Library rummage sale,5-10-2012,$0.50,,
562,"brown fish, turquoise fish, ceramic, made in Japan",6,2,Roger Schuettpelz,Buy/Sell/Swap,7-1-1989,$1.00,Animals,
511,"Avon egg, fits together, two parts",6,2,,,3-1986,$8.00,Food,YES!!!
872,"clear glass w/ painted German crest ""Steiermark"", antique store",6,2,,"Crystal Falls, MI",6-22-2003,$2.00,,
273,"squirrel & tree stump, Rib Mt State Park",6,2,,"Wausau, WI",1976,$1.55,Animals,
747,"white ceramic doves w/ irridecent and gold glaze, flea market",6,2,,"Minocqua, WI",6-26-99,$4.00,Animals,
968,white ceramic w/ Maryland orioles from antique store,6,2,,MN,7-2012,$3.00,,
971,"Disney Dumbo w/ circus ball, 81st birthday",6,2,Barb Schuettpelz,,3-8-2013,,Animals,
656,"glass mice, old, made in Hong Kong",6,2,Louie & Joyce,Rummage sale,3-1995,,,
168,"silver painted, two love birds on nest (branch with roses)",6,3,Louie & Joyce for christmas,,12-1972,,Animals,value
228,monkey w/ coconut (Lola Elfe),6,2,Roy & Christy Waley,,1975,,Animals,value
794,"ceramic bundle or bucket w/ grapes detail, made in Japan",6,2, ,Florence flea market,7-1-2001,,,value
63,peaches,6,2,,Georgia,1969,,,value
947,"Peasant couple (3 shakers), boy has hole in back of head.  Soldier marked as 947 in Tub E.",6,3,,,9-16-2011,$1.50,,value?
1010,"blue ceramic cylinders, irridecent glaze",6,2,,,9-1-2013,,,
998,yellow tupperware butter up corn on the cob hugger w/ salt & pepper shaker,6,1,,,9-2013,,,
988,"silver #1030, maker's monogram ""AL""",6,2,Pam,,6-30-2013,,,value
222,"Captain Pepper & Old Salty (duplicate set) by Nanco (Nancy Sales Company inc), made in Japan",6,2,gift money from Emma Oeistreich,"Aquatarium, FL",1975,$2.39,,value
984,"short glass with red top, vertical impression detail",6,2,Pam,,6-30-2013,,,
976,"picnic table, plastic shakers, w/ toothpick holder",6,3,Pam,,6-30-2013,$2.00,,
961,"Blue Sky snail-berries (snails w/ strawberry ""shells"")",6,2,Tanya's parents,TX,5-14-2012,,Animals,
218,"Schlitz beer bottles, metal tops, old",6,2,Janice Johnson,,1974,,,value
376,"Strawberry Shortcake branded,  ""not toooo much!"" ""Just a pinch!"" ",6,2,Maynard for christmas,,12-1981,,,value
541,"Avon ""Chef Andre"" chef w/ hat, fits together",6,2,,,3-1988,$7.99,,
682,"Reiss cuckoo clocks, red & green painted, old",6,2,"Ella Nelson, from Marie Young",,4-16-1998,$2.00,,value
977,"coatrack w/ yellow hat, black hat, toothpick holder in base",6,3,Pam,,6-30-2013,$5.00,,value
946,Dutch peasant couple,6,2,,New Zealand rummage sale,9-16-2011,$1.50,,
406,"Budweiser bottles, metal tops",6,2,Jeanette Staude,,2-1983,,,value
991,Antinori pepper mill and salt shaker,6,2,,,7-22-2013,$2.00,,
957,New Beginings popcorn buckets,6,2,,,4-11-2012,$0.99,,
517,"""Old Matt's Cabin"" ceramic jugs",6,2,,"Branson, MO",6-1986,$1.29,,
994,"Watermelon halves, chipped, fits together",6,2,,,9-2013,,Food,
620,white ceramic w/ strawberry design,0,2,Barb Schuettpelz,,3-21-1993,,,set aside for Carrie Ann
958,"Easter bunny holding egg, fits together, made in China",6,2,Barb & Ken for Easter,,4-10-2012,,"Animal, Easter",
591,Watermelon wedges,6,2,,"Crossroads Gift Shop, AR",6-1991,$5.00,Food,
989,blue ceramic barrels,6,2,,,7-22-2013,$2.00,,
990,"""Two Rivers, Wisc"" green wooden barrels",6,2,,"Goodwill in Two Rivers, WI",7-22-2013,$2.00,,
899,"""Florida"" Oranges w/ googly eyes",6,2,,LCFS Thrift Store,10-2006,$2.00,,
740,"Strawberry people, made in Japan",6,2,Lynn & Bob Kraus ,,5-12-1999,,,
264,"""California"" Orange & Lemon, old",6,2,Joyce Larsen,CA,1976,,Food,value
996,"white ceramic watering cans w/ red rose detail, made in Japan",6,2,,,,,,
785,"Pepsi Cola bottles w/ plastic tops, duplicate",6,2,Bernadine Zill,,3-15-2001,,,value
642,Brown glass bottles (aluminum tops),6,2,,rummage sale in Oconto,7-23-1994,,,
672,"whole watermelon, cut on bias, for 66th birthday, made in China",6,2,Barb Schuettpelz,,3-8-1998,,Food,
202,"""Florida"" Oranges, made in Japan",6,2,Lois & Augie,FL,1974,,Food,value
978,Homespun angels in winter dress,6,2,Pam,,6-30-2013,$2.00,,
159,"""Minneapolis, Minnesota state capitol"" strawberries hanging on a rack",6,3,Pam,"St. Paul, MN",1972,,,value
845,"small apples, ceramic",6,2,,"Old Orchard Antiques, Egg Harbor, WI",9-19-2002,$3.00,,
606,"Avon watermelon slices, seeds spell ""S"", ""P""",6,2,Amy Burrack,,7-3-1992,$4.99,Food,
211,"Pepsi Cola bottles w/ plastic tops, duplicate",6,2,,"WI Dells, WI",1974,,,value
981,"glass tomato boys, ruffle collars",6,2,Pam,,6-30-2013,$1.00,,
709,"ceramic strawberry, realistic looking, matte finish",0,2,,"Mutton Hollow, MO",5-1996,$2.99,Food,set aside for Carrie Ann
94,"Coors beer bottles, plastic tops, old",6,2,,"Shawano, WI",1971,$0.35,,value
842,Clearly Canadian sparkling water bottle shakers,6,2,,Buy/Sell/Swap,8-31-2002,$0.75,,
995,Budweiser beer bottles with plastic tops,6,2,,rummage sale,2013,,,value
980,"ceramic white ""Boys Town""",6,2,Pam,,6-30-2013,$1.00,,
766,"""Italian Swiss Colony"" wine bottles wrapped in cord, old",6,2,"Marilyn Olson, 92yr old mother in law",,7-21-2000,,,value
246,"Royal Canadian whiskey bottles, metal tops, old",6,2,Grayce Larsen,,1975,,,value
276,"7UP bottles, plastic caps",6,2,,Miles Kimball Co,1976,$1.04,,value
982,Saint Labre Indian School in original packaging,6,2,Pam,"Ashland, MT",6-30-2013,$1.00,,value
841,Schlitz glass bottles in original box 1957,6,3,,"Buy,Sell,Swap",8-31-2002,$5.00,,value
1001,"labeled as 1002, white ceramic pitchers with turnip/beet detail, dark green trim",6,2,,,9-1-2013,,,
118,Stove and coal bucket (old collection),B,2,,Shawano,1971,$1.20,,Value
59,Old style stove with kettle and teapot,B,3,,Tennessee,1968,$1.25,,Value
570,Poppin' Fresh and Poppie Fresh Pilsbury Dough couple,B,2,Jennifer and Jessica,,12-1989,,,YES
612,"Drive in Movie - Popcorn and roller skate.  Freelance, Inc sticker, Made in Taiwan",B,2,,Shawano,8-29-1992,$1.90,,
279,Spinning Wheels,B,2,,Pound,1976,$1.00,,Value
190,White ceramic praying boy and girl.  Made in Japan,B,2,Mary Ann Zahn,,1973,,,Value
30,Clock and phonograph.  Made in Japan.  Number 5572,B,2,,"Green Bay, WI",1969,,,Value
616,Black bear and garbage can.  Made in Japan,B,2,"Lori, Tim, Carrie, Eliana",,12-18-1992,,Animal,
467,"Elephants - gray one, light blue one, brown dorsal stripe",B,2,,Shawano Flea Market,8-26-1984,$2.00,Animal,value
685,bananas in woven basket with cloth liner,B,3,,Blair WI Liquidators,4-18-1998,$0.99,Food,value
869,holiday snowmen w/ navy blue shaker,B,2,,Branson,5-20-2003,$3.00,Christmas,
293,"brown dog w/ smiling bone, fits together, made in Japan",B,2,Joyce & Louie for Easter,WY,1977,,Animal,value
951,santa and stack of packages,B,2,,,11-2011,$2.00,Christmas,
614,"Daisy Duck & Donald Duck - cross reference with 613. The Good Company sticker, made in Korea",B,2,,Budget Dollar ,10-18-1992,$1.00,Animal,value
641,"black stoves with gold paint, plastic",B,2,,"Oconto, rummage sale",7-23-1994,$0.25,,
170,"silver tea pots ""Missouri"", with matching tray",B,3,Emma Oeisterich for Christmas,WVa,12-1972,,,value
126,"silver coffee pots, ""Niagra Falls"", with stamped tray, made in Japan",B,3,Rev. Martins,NY,1971,,,value
33,"silver coffee pots, ""Lewisburg, WVa"", with matching tray, made in Japan",B,3,Joyce & Louie,MO,1968,,,value
429,"anthropomorphic spoon & fork dancing couple, sort of fits together, Enesco, made in Japan",B,2,Ron & Sophie,rummage sale,11-1983,,,
789,"white glass w/ flip top lids, ""Salt"" ""Pepper"" in many languages, made in Western Germany",B,2,,"flea market, Florence, WI",6-30-2001,,,
700,"Avon berry baskets, raspberries and blackberries. There is another #700 baked potatoes",B,2,"Evelyn Schuttpelz, Elfe (Grandpa Elmer's sister, lived 4 houses away from him)","Eagle River, WI",7-8-1995,$2.50,,
110,"silver cowboy boots, ""south dakota wonderland"", made in Japan",B,2,,SD,1970,,,value
470,"gold coffee pots with matching tray, ""Mt Rainier, Washington"", made in Japan",B,3,,"flea market, Mt Rainier, WA",8-1984,$1.00,,
282,"silver coffee pots with matchign tray, ""Wisconsin"" emblem on tray, made in Japan",B,3,"Elsie & Glen Kruse, 25th anniversary","C Plain, WI",1976,,,value
742,"Whirelt Industries, Warren, Penn USA, yellow & clear plastic w/ push button dispenser",B,1,,"flea market in Clam Lake, WI",6-25-1999,$0.25,,value
291,"plastic silver cowboy boots, ""Little America, WYO""",B,2,Bud & Betty,"Little Am, WY",1977,,,value
867,wooden pigs,B ,2,,Ukrania World Fest,5-18-2003,$5.00,Animal,
875,"wooden lamp posts w/ painted roosters, hanging signs ""salt"" ""pepper""",B,2,,Our Redeemer Church sale ,7-4-2003,$2.00,,
459,"plastic silver armiture w/ hanging translucent red strawberries, made in Hong Kong, maker's mark: MF in a diamond, no. 728",B,3,Grandma Dennee,,6-1984,,Food,
537,"dark brown wooden, lathe-carved cylinders, made in Taiwan",B,2,"Grandma Thompson, old",,1987,,,value
557,"wooden cylinders, painted red & green ""S"" ""P"", looks handmade or hand-painted",B,2,Kevin Kuss for Christmas,,12-25-1988,,,
356,"carved wooden pots w/ wood holder, ""salt"" ""pepper"", from Phillipines",B,3,birthday money from Emma Oeisterich,Pulcifier Church auction,3-26-1980,$5.00,,value
251,"lamp posts, silver w/ black trim, made in Hong Kong",B,2,Joyce & Louie,,1975,,,value
236,"carved wooden pineapples, old, from Hawaii",B,2,Janice Johnson,"Swap Day, Hawaii",1975,,,value
655,"plastic canning jars, duplicate w/ 1047",B,2,,,1994,,,
839,"wooden mushroom-shaped cylinders, ""Mt Rushmore S. Dak"" ""S"" ""P""",B,2,,Buy Sell Swap,8-31-2002,$0.10,,
769,clear plastic shells,B,2,,"Shanty Days, Algoma",8-12-2000,$0.99,,
770,"wooden butter churns, ""Ye Olde Churn Pepper Lade Pomme de Terre Missouri""",B,2,,"Antique shop, Hardy, AR",10-2-2000,$1.00,,
873,"translucent green plastic tear drops, made in Hong Kong",B,2,,"antique store, Crystal Falls, MI",6-22-2003,$2.00,,
588,Avon Thanksgiving turkeys w/ hats,B,2,,,9-1990,$4.99,,
607,"wooden drums w/ beads, suede, green feathers",B,2,,"Batchawana Bay, Canada",7-9-1992,,,
748,"wooden cylinders w. ceramic tops, deer painting ""Illinois, land of Lincoln"" ""S"" ""P"", made in Japan",B,2,,"flea market, IL",6-26-1999,$1.00,,
874,"Avon blue star sitting on stripes base shaker, fits together",B,2,,"antique store, Crystal Falls, MI",6-22-2003,$2.00,,
520,"tin can cylinders, white and blue w/ rainbows, clouds, birds",B,2,Mary Ann Zahn,Secert Pal Party,9-23-1986,,,
698,"duplicate - picnic table, plastic shakers, w/ toothpick holder",B,2,,Fall Fest Days,9-10-1998,$0.25,,
512,"carved wooden cylinders on wooden tray ""The Monkey Pd Tree Shops"" from Hawaii",B,3,Clara Olson (Marilyn's mom-in-law),,4-25-1986,,,
697,carved wooden cylinders from Jamaica,B,2,rummage sale,"Fall Fest Days, Oconto Falls",9-10-1998,$0.50,,
812,"West Bend brand, olive green metal canisters w/ black tops, made in USA",B,2,,"Soo, MI",8-22-2001,$0.50,,
702,clear acrylic w/ red flower embedded,B,2,,"flea market, Shawano",8-18-1995,$2.00,,
602,clear acrylic w/ yellow flower embedded ,B,2,,Buy Sell Swap Suring,6-1992,$0.75,,
240,"Cypress Knee (light weight wood), Tom Gaskins, Palmdale FL, ordered in Feb, received in July 5th",B,2,,"Palmdale, FL",1975,$4.00,,value
847,"duplicate? black, white plastic cylinders in plastic holder ""Mark Every Grave"" ""A.H. Schneider Monument Co. Shawano, Wis""",B,3,,Perlick's estate sale,9-26-2002,,,
853,glass w silver metal top cylinders,B,2,,"Church bazaar, Townsend, WI",10-5-2002,$0.50,,
331,"Mr & Mrs Sanda heads in holly tray, made in Hong Kong",B,3,,Gallagher Co,12-1978,$0.99,,value
640,"duplicate for 111, plastic smoking pipes, but no printing, made in Hong Kong",B,2,Glen & Elsie Kruse,Flea market,7-4-1994,,,
111,"duplicate for 640, plastic smoking pipes, ""Rockerville Gold Town, Black Hills, South Dakota""",B,2,,"Rockerville, SD",1970,,,value?
410,"plastic christmas boy & girl mice, makers mark ""JASCO 1991 Hong Kong""",B,2,,"Liquidators, Green Bay, WI",3-1983,,,
876,"painted tin cans, old street scene",B,2,,Our Redeemer Church sale,7-4-2003,$0.20,,
828,"painted tin cans, ""Home Grown"" with vegetables, handles",B,2,Louie & Joyce,FL,4-20-2002,,,
834,"plastic painted cute snowmen couple, Hallmark Cards Inc, duplicate w/ 822",B,2,Barb Schuttpelz,Resale,8-24-2002,,,
822,"plastic painted cute snowmen couple, Hallmark Cards Inc, duplicate w/ 834",B,2,Barb Schuttpelz,,2-17-2002,,,
609,wooden acorns,B,2,,Hilbert Genkes rummage sale,8-1992,,,
803,"wooden pitchers, ""S"" ""P"" ""Black Hills S. D.""",B,2,,"Flea market Shawano, WI",7-8-2001,$1.00,,
675,"wooden pears w/ string stem, ""Hawk's Nest State Park, West Virginia""",B,2,Ella Nelson,,4-16-1998,$2.00,,
772,"plastic jugs (not those kind of jugs, get your mind out of the gutter)",B,2,,Marila at Hardy Antique,10-7-2000,$2.50,,
773,"green plastic fruit jars ""Florida""",B,2,,"Antique store, Hardy, AR?",10-7-2000,$2.50,,
775,plastic pitchers w/ covers red & yellow,B,2,,"Hardy, AR",10-8-2000,$2.00,,
384,"wooden cylinders, carved and painted ""Mexico"", duplicate w/ 1037?",B,2,Jeanette Staude,Mexico,6-1982,$2.95,,
788,"square glass jars w/ silver plated tops, silver plated tray, made in Hong Kong ",B,3,Stu Grayling,sidewalk sale,6-2001,$0.50,,value
274,"blue flocked bull w/ shakers on pegs that stick into body, makers mark ""YL"", handpainted, made in Hong Kong",B,3,Sue Johnson,Labor Day sale Suring,1976,,,value
247,"orange flocked donkey w/ shaker paniers on pegs that stick into body, ""Love made in Hong Kong""",B,3,,Pulaski,1975,,,value
205,"brown flocked donkey w/ shaker paniers on pegs that stick into body, bell around neck, makers mark ""LF"", made in Hong Kong",B,3,"Mary Ann Zahn, Get Well",,1974,,,value
404,"Hallmark wooden discs ""S"" with wheat carving, ""P"" with acorn carving",B,2,Ed & Jeanette for Christmas,,1982,,,
339,"plastic two country people with outhouse on landscape tray, ""Music City USA, Nashville, TN""",B,3,,"Nashville, TN",5-12-1979,$2.98,,value
42,"wooden lamp posts w/ ""San Francisco, California"", bridge sketch, street signs ""salt"" ""pepper"", made in Japan",B,2,Lois & Herman,CA,1968,,,value
374,"Locomotives, aka TRAAAAAIIIIIINNNN, plastic",B,2,Emma Oesterich,,10-1981,,,maybe
345,"gold painted plastic cannons, ""Mackinaw City, Michigan""",B,2,,"Mackinaw City, MI",6-16-1979,,,value
225,"plastic turkish coffee cups, white & blue, ""Hawaii"", pineapple painting, made in Hong Kong",B,4,Pa & Rodger,Hawaii,3-1975,,,value
198,"yellow wood turkish coffee cups in gold plastic holders, ""Horseshoe Bend, Arkansas"", made in Hong Kong",B,4,Lois & Augie,"Horseshoe Bend, AR",1973,,,value
75,"natural wood turkish coffee cups in gold painted metal holder, ""Oklahoma""",B,4,,OK,1968,,,value
38,"cylinders, ceramic top, wood bottom, Mother & Father deep thoughts",B,2,"""from the 3 kids""",IL,1969,,,value
259,"plastic silver cannons on black base, made in Hong Kong, ""6001""",B,3,Louie & Joyce,,1976,,,value
603,"old fashioned oil lamp, metal base, plastic shade, ""Souvenier of Wisconsin Dells, Wisc""",B,2,,Buy Sell Swap Suring,6-1992,$0.75,,
677,"white plastic canisters, red printed label, Durabrite, CA",B,2,"Ella Nelson, moving sale",IL,4-16-1998,$2.00,,
496,"plastic ""Bless this house"" brown base w/ black plastic stoves, made in Hong Kong",B,4,rummage sale,Suring,8-1985,$1.25,,
688,"Christmas bears, makers mark 1982 Lucy Rigg",B,2,,"Flea market, AR",5-26-1998,$1.00,,
848,"glass jars w/ embossed label in box, ""Suring Cooperative Association"", Midland Co-op ",B,2,,Perlick estate sale,9-26-2002,,,
483,"duplicate with 996, green and yellow sprinkle cans ",B,2,Mike & Misty Beauregaurd,,12-1984,,,
407,"silver metal cowboy boots, ""Nashville, Tenn"", old, made in Japan",B,2,Jeanette Staude,,2-1983,,,value
367,"ceramic, charicature people, painted wood grain, old ",B,2,Germaine's dad Lou,,1-1981,,,
101,"clear glass grape vessels hanging from metal grapevine armiture, made in Japan",B,3,Janice & Len for birthday,,1970,,,value
35,"copper cowboy boots, makers mark ""Platt Co"" ",B,2,Lois & Herman,TX,1968,,,value
551,"ceramic bottles in woven basket holder, swan details, blue plants",B,3,"Mable Elfe, ",Secret Pal Anniversary Party,9-27-1988,,,
806,"plastic, single, divided container",B,1,,"rummage sale, Algoma",8-4-2001,$0.25,,
586,"plastic, single, divided container, ""salt"" ""pepper"" paper insert",B,1,,garage sale Shawano,9-29-1990,$0.50,,
506,blue tin w/ unicorns and rainbows,B,2,Mike & Misty Beauregard for Christmas,,1985,,,
84,"white ceramic steins with gold detail, ""Peace Light Festival, Gettysburg, PA"",  made in Japan",B,2,Lois,PA,1970,,,value
639,"white ceramic mugs, ""Mount Rushmore"" with printing of the sculpture, KWC, made in Korea",B,2,,SD,6-24-94,$6.00,,
686,"white ceramic ducks, one with blue kerchief ",B,2,,flea market AR,5-26-1998,$0.50,,
499,wooden cylinders,B,2,Mike Baumgardt,,8-1985,,,
182,"two glass sea lanterns on metal anchor stand, made in Hong Kong",,,,ordered from school ,1973,$1.98,,value
299,"ceramic figure and cactus, very abstract",B,2,,"Bethesda shop, Green Bay, WI",6-1977,$0.15,,value
89,"blue double boiler, ""Old Matt's Cabin...""",B,2,Louie & Joyce,Ozarks,1970,,,value
538,plastic olive green & white canisters,B,2,Maynard,rummage sale,1987,,,
549,wooden hexagon cylinders,B,2,,Marquette Prison shop,7-6-1988,$3.00,,
